author,word,character,digit,colon,semicolon,qmark,period,comma,exclamation,@,#
3515,13,85,1,0,0,0,0,0,0,0,0
2688,13,72,1,0,0,0,0,0,0,0,0
2689,14,85,0,0,0,0,0,1,0,0,0
2684,9,49,0,0,0,0,0,0,0,0,0
2685,7,39,0,0,0,0,0,1,0,0,0
2686,13,86,0,0,0,0,0,2,0,1,0
2687,16,85,0,0,0,0,0,0,0,1,0
2680,8,50,1,1,0,0,0,0,0,0,0
2681,19,109,0,0,0,0,0,1,0,0,0
2682,10,57,0,0,0,0,0,1,0,0,0
99,6,46,0,0,0,0,0,0,0,0,0
633,10,53,0,0,0,0,0,0,0,0,0
90,11,81,0,0,0,0,0,0,0,0,2
93,10,57,0,0,0,0,0,0,0,0,0
92,13,75,0,0,0,0,0,1,0,0,0
95,16,98,1,0,0,0,0,1,0,0,0
94,13,76,0,0,0,0,0,2,0,0,0
97,16,88,0,0,0,0,0,1,0,0,0
96,11,62,0,0,0,0,0,0,0,1,0
1376,17,93,0,0,0,0,0,1,0,0,0
1177,15,90,2,0,0,0,0,0,0,1,0
1176,18,105,0,0,0,0,0,1,0,1,0
1175,11,69,0,0,0,0,0,4,0,0,0
1174,13,83,5,1,0,0,0,1,0,1,0
1173,3,24,0,0,0,0,0,0,1,0,0
1172,3,20,0,0,0,0,0,0,0,0,0
1171,14,85,1,1,0,0,0,0,0,1,0
1170,15,86,0,0,0,0,0,2,0,0,0
1179,9,50,0,0,0,0,0,1,0,0,0
1178,12,66,0,0,0,0,0,0,0,0,0
512,10,59,0,0,0,0,0,0,0,1,0
6987,17,95,0,0,0,0,0,2,0,0,0
7188,7,38,0,0,0,0,0,0,0,0,0
7189,17,101,0,0,0,0,0,1,0,1,1
3431,13,82,1,0,0,0,0,1,1,0,0
7180,15,96,0,0,0,0,0,0,0,0,2
7181,9,61,0,0,0,0,0,0,0,0,0
7182,13,67,0,0,0,0,0,1,0,0,0
7183,6,35,0,0,0,0,0,0,0,0,0
7184,14,84,0,0,0,0,0,0,0,0,0
7185,20,90,1,0,0,0,0,0,0,0,0
7186,11,68,0,0,0,0,0,1,0,0,0
7187,15,87,0,0,0,0,0,1,0,0,0
875,6,33,0,0,0,0,0,0,0,0,0
1226,13,77,0,0,0,0,0,1,0,0,0
872,10,52,0,0,0,0,0,0,0,0,0
621,13,76,0,0,0,0,0,0,2,0,0
873,11,61,0,0,0,0,0,1,0,0,0
620,12,77,0,1,0,0,0,0,0,0,0
8549,10,54,0,0,0,0,0,0,0,0,0
8548,14,91,2,0,0,0,0,1,1,0,0
8019,12,67,0,0,0,0,0,0,2,0,0
8018,17,97,0,0,0,0,0,1,0,0,0
8017,13,71,0,0,0,0,0,1,0,0,0
627,11,68,0,0,0,0,1,1,0,0,0
8015,10,51,4,0,0,0,0,0,0,0,0
8546,17,90,0,0,0,0,0,1,0,0,0
8013,16,99,1,0,0,0,0,2,0,0,0
8012,8,52,1,0,0,0,0,0,0,0,0
8011,6,37,0,0,0,0,0,0,0,0,0
626,11,61,1,0,0,0,0,0,0,0,0
7456,15,82,0,0,0,0,0,0,1,0,0
7457,15,88,0,0,0,0,0,1,0,0,0
7454,15,90,0,0,0,0,0,2,0,0,0
7455,12,61,0,0,0,0,0,1,1,0,0
625,8,51,0,0,0,0,0,0,0,1,0
7450,15,90,0,0,0,0,0,1,2,0,0
2036,4,23,0,0,0,0,0,0,0,1,0
624,16,90,0,0,0,0,0,1,1,0,0
4590,5,26,0,0,0,0,0,0,0,0,0
7459,10,59,0,0,0,0,0,0,1,0,0
2742,12,72,0,0,0,0,0,0,1,0,0
4596,12,74,0,0,0,0,0,0,0,1,0
4597,14,81,0,0,0,0,0,1,0,0,0
2031,6,36,0,0,0,0,0,0,0,0,0
4595,15,85,0,0,0,0,0,0,0,0,0
2749,9,50,0,0,0,0,0,1,1,0,0
2748,17,101,0,0,0,0,0,1,0,0,0
4598,15,81,0,0,0,0,0,2,0,0,0
6536,8,50,0,1,0,0,0,0,0,0,0
4599,18,109,1,1,0,0,0,1,0,0,0
2318,9,49,0,0,0,0,0,1,0,0,0
8290,10,58,0,0,0,0,0,0,3,0,0
2319,13,79,0,0,0,0,0,1,0,0,0
6534,18,95,1,0,0,0,0,1,0,0,0
8292,8,60,0,0,0,0,0,0,0,0,1
4842,14,87,0,0,0,0,0,0,0,0,0
6532,5,32,0,0,0,0,0,0,0,0,0
2038,8,55,0,1,0,0,0,0,0,0,0
2314,19,108,2,0,0,0,0,2,0,0,0
6533,16,90,0,0,0,0,0,0,2,0,0
6531,5,34,0,0,0,0,0,0,0,0,0
393,8,55,0,0,0,0,0,0,0,0,0
392,10,65,1,0,0,0,0,0,0,0,0
391,13,80,0,0,0,0,0,1,0,0,0
390,12,71,1,0,0,0,0,1,1,0,0
396,11,67,1,0,0,0,0,1,0,0,0
394,9,59,0,0,0,0,0,1,0,0,0
399,14,82,1,0,0,0,0,2,0,0,0
398,10,56,0,0,0,0,0,0,1,0,0
2309,10,65,0,0,0,0,0,2,0,0,0
2308,7,37,0,0,0,0,0,0,0,0,0
4729,11,61,0,0,0,0,0,0,3,0,0
4728,14,82,0,0,0,0,0,2,4,0,0
2301,13,76,1,0,0,0,0,2,0,0,0
4724,11,68,0,0,0,0,0,2,0,0,0
4727,10,62,1,0,0,0,0,0,0,0,0
2302,9,44,0,0,0,0,0,1,0,0,0
4721,12,68,0,0,0,0,0,0,0,0,0
4720,12,69,0,0,0,0,0,2,0,1,0
2306,13,76,0,0,0,0,0,1,0,0,0
5846,17,91,6,2,0,0,0,1,0,0,0
5845,13,71,0,0,0,0,0,1,0,0,0
5844,11,70,0,0,0,0,0,0,0,0,0
5843,13,72,0,0,0,0,0,0,0,0,0
5842,12,72,0,0,0,0,0,1,0,0,0
5840,16,88,3,0,0,0,0,1,0,0,0
5848,11,62,0,0,0,0,0,0,0,0,0
3748,18,106,0,0,0,0,0,3,0,0,0
3749,15,89,0,0,0,0,0,1,0,0,0
3746,13,77,0,0,0,0,0,0,0,0,0
3747,12,71,0,0,0,0,0,0,0,1,0
3744,13,76,0,0,0,0,0,1,0,0,0
3745,12,67,0,0,0,0,0,1,0,0,0
3742,18,111,2,0,0,0,0,0,0,0,0
3743,8,54,0,0,0,0,0,1,0,0,0
3740,13,75,0,0,0,0,0,0,1,0,0
3741,12,66,0,0,0,0,0,0,0,0,0
4620,13,72,0,0,0,0,0,0,0,1,0
4621,15,84,0,0,0,0,0,1,0,1,0
4622,10,76,13,1,0,0,0,0,0,0,0
4623,16,107,2,0,0,0,0,4,0,0,2
4624,9,53,1,0,0,0,0,0,0,0,0
4625,15,76,0,0,0,0,0,0,0,0,0
4627,9,46,0,0,0,0,0,0,0,0,0
4628,13,72,0,0,0,0,0,2,0,0,0
4629,18,103,0,0,0,0,0,1,0,0,0
179,19,123,2,0,0,0,0,2,0,0,0
178,11,53,0,0,0,0,0,0,0,0,0
177,15,91,1,0,0,0,0,1,0,0,0
176,14,76,0,0,0,0,0,1,0,0,0
175,14,82,0,0,0,0,0,1,0,0,0
174,17,89,2,0,0,0,0,2,1,0,0
173,14,83,0,0,0,0,0,2,0,0,0
172,16,82,0,0,0,0,0,0,0,0,0
171,18,108,0,0,0,0,0,1,0,0,0
170,6,33,0,0,0,0,0,0,0,0,0
7218,13,67,0,0,0,0,0,0,0,0,0
7219,12,73,0,0,0,0,0,1,1,0,0
7210,5,32,0,0,0,0,0,0,0,0,0
7211,12,63,0,0,0,0,0,2,0,0,0
7212,10,69,0,0,0,0,0,0,0,0,0
7213,7,37,0,0,0,0,0,0,0,0,0
7215,16,93,0,0,0,0,0,1,0,1,0
7216,14,70,0,0,0,0,0,0,1,0,0
6217,10,52,0,0,0,0,0,0,0,1,0
6216,11,67,0,0,0,0,0,0,0,0,0
6215,13,76,0,0,0,0,0,1,0,0,0
6214,10,59,0,0,0,0,0,1,0,0,0
6213,12,70,0,0,0,0,0,2,0,0,0
6212,16,88,0,0,0,0,0,1,0,0,0
6211,12,76,0,1,0,0,0,0,0,0,0
6210,14,77,1,0,0,0,0,1,0,0,0
6219,6,36,0,0,0,0,0,0,0,0,0
6218,10,67,1,0,0,0,0,0,0,0,0
6819,9,57,0,0,0,0,0,1,0,0,0
6818,18,92,2,0,0,0,0,1,0,0,0
6811,16,96,0,0,0,0,0,2,0,0,0
6810,15,81,0,0,0,0,0,1,1,0,0
6813,16,104,2,0,0,0,1,0,0,1,0
6812,5,34,0,0,0,0,0,1,0,0,0
6815,12,68,0,0,0,0,0,1,0,0,0
6814,8,47,0,0,0,0,0,0,1,0,0
6817,16,94,1,0,0,0,0,1,0,0,1
6816,9,47,0,0,0,0,0,0,0,1,0
9757,16,81,0,0,0,0,0,1,4,0,0
9756,16,90,0,0,0,0,0,1,0,0,0
9755,17,94,0,0,0,0,0,1,0,1,0
9754,18,106,1,0,0,0,0,2,1,0,0
9753,5,31,0,0,0,0,0,0,0,0,0
9752,15,92,0,0,0,0,0,0,0,0,1
9751,12,63,0,0,0,0,0,2,0,0,0
9750,12,73,0,0,0,0,0,1,0,0,0
1115,8,47,0,0,0,0,0,0,0,0,0
9759,11,63,0,0,0,0,0,1,0,0,0
9758,14,81,1,0,0,0,0,1,0,0,0
8848,11,62,0,0,0,0,0,0,0,0,0
8849,14,80,1,0,0,0,0,1,0,0,0
8840,18,106,1,0,0,0,0,1,2,0,0
8841,17,119,0,0,0,0,0,1,0,0,0
8842,10,61,0,0,0,0,0,1,0,1,0
8844,14,78,0,0,0,0,0,0,0,1,0
8845,14,81,1,0,0,0,0,2,2,0,0
8846,15,85,0,0,0,0,0,0,0,0,0
8847,16,103,1,0,0,0,1,1,0,0,0
7669,12,63,0,0,0,0,0,1,0,0,0
7668,11,66,0,0,0,0,0,0,0,0,0
7661,8,53,0,0,0,0,0,0,0,0,0
7660,16,92,0,0,0,0,0,1,0,0,0
7663,9,52,0,0,0,0,0,1,0,0,0
7665,8,79,0,1,0,0,1,0,1,0,1
7664,11,64,0,0,0,0,0,1,0,0,0
7667,14,91,0,0,0,0,0,1,0,0,0
7666,14,95,0,0,0,0,0,0,0,1,0
1768,16,108,0,0,0,0,0,0,0,0,4
1769,14,87,1,0,0,0,0,1,0,0,0
1762,13,78,0,0,0,0,0,1,0,0,0
1763,4,31,0,0,0,0,0,0,0,0,0
1760,16,95,1,0,0,0,0,0,0,0,0
1761,12,61,0,0,0,0,0,1,0,0,0
1766,11,57,0,0,0,0,0,1,0,0,0
1767,18,108,0,0,0,0,0,1,0,1,1
1764,11,65,0,0,0,0,0,0,0,0,0
1765,13,76,0,0,0,0,0,1,0,1,0
1546,12,67,0,0,0,0,0,0,0,0,0
693,15,88,0,0,0,0,0,1,0,0,0
1544,16,89,0,0,0,0,0,1,0,0,0
691,10,67,0,0,0,0,0,0,1,4,0
696,12,71,0,0,0,0,0,1,0,0,0
1543,15,90,0,0,0,0,0,0,0,0,0
694,12,63,0,0,0,0,0,1,0,1,0
1541,15,86,0,0,0,0,0,1,0,0,0
698,10,56,0,0,0,0,0,1,0,0,0
699,14,90,0,0,0,0,0,0,0,0,0
1548,16,87,0,0,0,0,0,1,0,0,0
1549,8,47,0,0,0,4,0,0,0,0,0
8710,15,83,0,0,0,0,0,1,0,0,0
8711,11,61,0,0,0,0,0,0,1,0,0
8712,10,57,0,0,0,0,0,0,0,0,0
8713,13,72,0,0,0,0,0,1,0,0,0
8714,22,119,0,0,0,0,0,1,0,1,0
8715,12,78,1,1,0,0,0,0,0,0,0
8716,16,98,2,0,0,0,0,1,0,0,0
8717,10,63,0,0,0,0,0,1,0,1,0
8718,8,43,0,0,0,0,0,1,0,0,0
8719,11,63,0,0,0,0,0,1,1,0,0
5618,9,52,0,0,0,0,0,0,0,0,0
5619,8,46,0,0,0,0,0,1,0,0,0
5612,17,92,0,0,0,0,0,1,0,0,0
5613,10,50,0,0,0,0,0,0,0,0,0
5610,17,100,0,0,0,0,0,2,0,0,0
5611,10,57,0,0,0,0,0,0,0,1,0
5616,11,70,0,0,0,0,0,0,0,0,0
5617,8,45,0,0,0,0,0,0,2,0,0
5614,9,56,1,0,0,0,0,0,0,0,0
5615,10,64,0,0,0,0,0,1,0,0,0
7116,13,75,1,0,0,0,0,1,0,0,0
4668,13,79,0,0,0,0,0,1,0,0,0
9256,12,68,0,0,0,0,0,0,0,0,0
9257,12,74,0,0,0,0,0,0,0,1,0
366,14,73,0,0,0,0,0,1,0,0,0
9254,12,64,0,0,0,0,0,0,1,0,0
9521,13,83,1,0,0,0,0,2,0,0,0
9250,19,113,4,1,0,0,0,3,0,0,0
9523,15,89,0,0,0,0,0,1,0,0,0
6778,9,56,0,0,0,0,0,2,1,0,0
6779,8,52,0,0,0,0,0,0,0,0,0
6774,11,66,1,0,0,0,0,0,0,0,0
6775,16,100,1,0,0,0,0,1,0,0,0
6776,16,90,0,0,0,0,0,1,0,0,0
6777,15,85,0,0,0,0,0,1,0,0,0
6770,13,79,0,0,0,0,0,1,0,0,0
6771,14,75,0,0,0,0,0,1,0,0,0
6772,12,65,0,0,0,0,0,0,0,0,0
6773,19,111,0,0,0,0,0,1,0,1,0
9964,17,86,0,0,0,0,0,0,0,0,0
9965,16,98,1,0,0,0,0,1,3,0,0
9967,9,47,0,0,0,0,0,2,0,0,0
9960,17,92,0,0,0,0,0,1,0,0,0
9961,16,89,0,0,0,0,0,1,0,0,0
9962,15,107,0,1,0,0,0,2,0,0,0
9963,11,57,0,0,0,0,0,2,0,0,0
9968,25,135,1,0,0,0,0,0,1,0,0
9969,10,57,0,0,0,0,0,1,0,0,0
3580,16,88,1,0,0,0,0,1,0,0,0
259,12,66,0,0,0,0,0,2,1,0,0
365,12,84,0,0,0,0,0,0,0,1,1
252,8,45,0,0,0,0,0,0,0,0,0
253,11,68,0,0,0,0,0,0,0,0,0
250,8,50,0,0,0,0,0,0,0,0,0
251,10,56,0,0,0,0,0,0,0,0,0
256,18,112,0,1,0,0,0,2,0,0,0
257,10,57,0,0,0,0,0,1,0,0,0
254,12,73,1,0,0,0,0,0,1,0,1
255,15,82,0,0,0,0,0,1,0,0,0
9508,18,109,1,0,0,0,0,1,0,0,0
9509,17,104,1,0,0,0,0,0,1,2,0
9503,9,50,0,0,0,0,0,0,0,0,0
9500,12,72,0,0,0,0,0,1,0,0,0
9501,18,93,0,0,0,0,1,1,0,1,0
9506,15,94,0,0,0,0,0,0,0,0,0
9507,13,82,1,0,0,0,0,0,0,0,0
9504,12,64,0,0,0,0,0,3,0,0,0
9505,11,62,0,0,0,0,0,0,0,0,0
3689,9,55,0,0,0,0,0,1,0,1,0
3688,16,86,1,0,0,0,0,0,0,0,0
3683,13,82,0,0,0,0,0,2,0,0,0
3682,15,87,0,0,0,0,0,1,0,0,0
3681,15,92,0,0,0,0,0,0,1,0,0
3680,19,103,0,0,0,0,0,1,1,0,0
3687,12,71,0,0,0,0,0,2,2,0,0
3686,9,55,1,0,0,0,0,0,0,0,0
3685,13,77,0,0,0,0,0,0,0,0,0
3684,7,42,0,0,0,0,0,1,0,0,0
2518,14,87,0,0,0,0,0,2,0,0,0
2519,14,80,0,0,0,0,0,1,0,0,0
2514,10,57,0,0,0,0,0,1,0,0,0
2515,14,79,0,0,0,0,0,0,0,0,0
2516,13,72,0,0,0,0,0,1,0,0,0
2517,10,57,0,0,0,0,0,1,0,0,0
2510,13,74,0,0,0,0,0,0,0,0,0
2511,13,75,0,0,0,0,0,3,0,0,0
2512,13,74,1,0,0,0,0,0,0,0,0
2513,12,67,0,0,0,0,0,0,0,0,0
3530,9,46,0,0,0,0,0,1,0,0,0
3533,15,86,0,0,0,0,0,0,1,0,0
3532,17,98,1,0,0,0,0,2,0,0,0
3534,16,85,1,0,0,0,0,0,0,0,0
3537,19,105,0,0,0,0,1,0,2,0,0
3536,15,85,0,0,0,0,0,2,0,0,0
3539,6,33,0,0,0,0,0,0,0,0,0
3538,7,39,0,0,0,0,0,0,0,0,0
5056,16,99,6,1,0,0,0,2,0,0,0
5057,13,69,0,0,0,0,0,1,0,0,0
5050,14,85,0,1,0,0,0,0,0,0,0
5051,11,63,0,0,0,0,0,0,0,0,0
5052,16,99,0,0,0,0,0,1,0,0,1
5053,8,58,0,0,0,0,0,1,0,0,0
1159,13,81,0,0,0,0,0,3,0,0,0
1158,18,114,2,1,0,0,0,3,0,0,0
1155,13,71,0,0,0,0,0,1,0,0,0
1154,11,58,0,0,0,0,0,1,0,0,0
1157,15,88,0,0,0,0,0,0,0,0,0
1151,14,80,0,0,0,0,0,1,0,1,0
1150,17,102,0,0,0,0,0,1,0,0,0
1153,11,59,0,0,0,0,0,1,0,0,0
1152,13,68,0,0,0,0,0,2,0,1,0
8035,11,67,0,0,0,0,0,1,0,0,0
8037,11,64,0,0,0,0,0,0,0,0,0
8036,11,67,0,0,0,0,0,1,0,0,0
8031,11,66,0,0,0,0,0,1,0,0,0
8030,9,51,0,0,0,0,0,0,0,1,0
8033,13,84,0,1,0,0,0,2,0,0,0
8032,12,65,1,0,0,0,0,0,1,0,0
8039,12,71,0,0,0,0,0,2,0,0,0
8038,15,83,0,0,0,0,0,1,0,0,0
8529,15,92,0,0,0,0,0,1,0,0,1
8528,14,75,3,0,0,0,0,0,1,0,0
8523,10,78,0,1,0,0,0,1,0,0,0
8522,11,57,0,0,0,0,0,0,0,0,0
8521,8,54,0,0,0,0,0,0,0,0,0
8520,16,94,0,0,0,0,0,1,0,0,0
8527,10,53,0,0,0,0,0,0,0,1,0
8526,13,72,0,0,0,0,0,1,0,1,0
8525,10,52,0,0,0,0,0,1,0,0,0
4299,15,96,0,0,0,0,0,0,1,1,0
4298,6,33,0,0,0,0,0,0,1,0,0
4295,10,55,0,0,0,0,0,0,1,0,0
4294,7,39,0,0,0,0,0,0,0,0,0
4297,17,97,0,0,0,0,0,0,0,0,0
4296,20,116,1,0,0,0,0,2,0,0,0
4291,13,76,0,0,0,0,0,2,0,0,0
4290,13,75,0,0,0,0,0,1,0,0,0
4293,18,98,0,0,0,0,0,1,0,0,0
4292,16,97,0,0,0,0,0,1,0,0,0
7260,10,53,0,0,0,0,0,2,0,0,0
3570,12,57,0,0,0,0,0,0,1,0,0
4749,12,70,0,0,0,0,0,0,0,0,0
4748,13,74,1,0,0,0,0,0,0,0,0
4743,6,44,0,0,0,0,0,1,0,0,0
4742,10,56,0,0,0,0,0,0,0,0,0
4741,8,54,0,0,0,0,0,0,0,0,0
4740,15,80,1,0,0,0,0,0,1,0,0
4747,15,87,0,0,0,0,0,1,0,0,0
4746,10,57,0,0,0,0,0,4,0,0,0
4745,12,66,0,0,0,0,0,1,0,0,0
4744,20,117,1,0,0,0,0,3,1,0,0
5869,11,66,0,0,0,0,0,0,2,0,0
5868,14,74,0,0,0,0,0,1,1,0,0
5865,13,70,0,1,0,0,0,1,1,0,0
5864,15,92,1,0,0,0,0,1,0,0,0
5867,11,60,0,0,0,0,0,2,0,0,0
5866,10,54,0,0,0,0,0,0,0,0,0
5861,10,57,0,0,0,0,0,0,0,0,0
5860,13,71,1,0,0,0,0,0,0,0,0
5863,16,100,0,0,0,0,0,0,0,1,0
5862,15,90,0,1,0,0,0,1,0,1,0
9006,12,68,1,1,0,0,0,1,0,0,0
2183,14,82,0,0,0,0,0,1,0,0,0
2182,10,62,0,0,0,0,0,0,0,0,0
2181,17,101,0,0,0,0,0,2,0,0,0
2180,14,75,0,0,0,0,0,3,0,0,0
2187,14,91,1,0,0,0,0,0,0,1,0
2186,8,52,0,0,0,0,0,1,0,0,0
2185,12,68,0,0,0,0,0,0,0,0,0
2184,16,90,1,0,0,0,0,2,0,0,0
4606,14,86,1,0,0,0,0,0,0,0,0
4607,7,48,0,0,0,0,0,0,0,0,0
4604,13,81,0,0,0,0,0,0,0,0,0
2188,9,49,1,0,0,0,0,0,0,0,0
4602,12,64,0,0,0,0,0,0,0,0,0
4603,14,85,0,0,0,0,0,1,0,0,0
4600,18,113,0,1,0,0,0,2,0,0,0
4601,17,102,0,0,0,0,0,0,0,1,0
6451,9,54,0,0,0,0,0,0,0,0,0
8683,14,76,0,0,0,0,0,0,1,0,0
8680,15,87,0,0,0,0,0,1,0,0,0
8681,9,63,0,0,0,0,0,1,0,0,0
6455,15,88,0,0,0,0,0,1,0,0,0
6902,12,66,0,0,0,0,0,1,0,0,0
151,15,103,0,0,0,0,0,1,0,0,0
153,14,74,0,0,0,0,0,0,0,0,0
152,12,67,0,0,0,0,0,1,1,0,0
155,11,62,0,0,0,0,0,1,0,0,0
154,7,46,0,0,0,0,0,0,0,0,0
157,12,70,0,0,0,0,0,0,0,0,0
156,13,72,0,0,0,0,0,1,0,0,0
159,16,101,0,0,0,0,0,1,0,0,0
6900,16,88,0,0,0,0,0,0,0,0,0
6459,9,52,0,0,0,0,0,1,0,0,0
9293,16,84,0,0,0,0,0,1,0,0,0
8135,8,53,0,0,0,0,0,0,0,0,0
7998,11,62,0,0,0,0,0,2,0,0,0
8688,4,42,2,0,0,0,0,0,0,0,0
8137,14,89,0,0,0,0,0,0,0,1,0
6187,13,70,0,0,0,0,0,2,0,0,0
9290,7,38,0,0,0,0,0,0,3,0,0
6185,16,93,0,0,0,0,0,1,0,1,0
6184,15,90,0,0,0,0,0,2,0,0,0
6183,12,69,0,0,0,0,0,0,0,0,0
6909,14,88,1,0,0,0,0,0,0,0,0
6180,13,91,1,1,0,0,0,1,0,0,1
6908,14,75,0,0,0,0,0,1,0,0,0
6189,9,55,0,0,0,0,0,1,0,0,0
6188,16,91,1,0,0,0,0,0,1,1,0
2727,17,98,0,0,0,0,0,0,0,0,0
2726,14,81,0,0,0,0,0,1,0,0,0
2725,14,89,3,0,0,0,0,2,0,0,0
2724,17,101,1,0,0,0,0,0,0,0,1
2723,14,75,0,0,0,0,0,1,0,0,0
2722,18,100,1,0,0,0,0,2,0,0,0
2721,6,36,0,0,0,0,0,0,0,0,0
2720,16,109,2,1,0,0,0,1,0,0,0
2729,18,100,0,0,0,0,0,1,0,0,0
2728,10,52,0,0,0,0,0,0,0,0,0
7236,10,72,4,0,0,0,0,0,0,0,0
9190,15,82,0,0,0,0,0,0,0,0,0
7946,10,57,0,0,0,0,0,0,2,0,0
7235,13,64,0,0,0,0,0,1,0,0,0
7232,9,56,0,0,0,0,0,1,0,0,0
9194,16,87,0,0,0,0,0,1,0,0,0
7942,16,94,0,0,0,0,0,1,0,0,0
7943,14,82,0,0,0,0,0,1,0,1,0
9199,15,79,0,1,0,0,0,0,0,0,0
9198,16,98,3,0,0,0,0,1,0,0,0
7948,11,60,0,0,0,0,0,2,1,0,0
7949,14,78,0,0,0,0,0,0,1,0,0
7238,11,62,0,0,0,0,0,2,1,0,0
7239,12,64,0,0,0,0,0,0,0,0,0
692,17,96,1,0,0,0,0,1,1,0,0
6239,13,81,1,0,0,0,0,0,0,0,0
6238,14,81,0,0,0,0,0,2,0,0,0
3089,12,64,0,0,0,0,0,0,0,0,0
6235,9,56,0,0,0,0,0,2,0,0,0
6234,13,88,1,0,0,0,0,1,0,1,0
6237,10,68,0,0,0,1,0,2,4,0,0
6236,13,69,0,0,0,0,0,1,1,0,0
6231,8,45,0,0,0,0,0,0,0,0,0
6230,10,60,0,0,0,0,0,0,0,0,0
6232,11,62,0,0,0,0,0,1,0,0,0
91,23,125,4,2,0,0,0,1,0,0,0
9779,10,56,0,0,0,0,0,1,0,0,0
9778,11,58,1,0,0,1,0,0,0,0,0
9775,7,49,0,0,0,0,0,0,0,0,0
9774,10,55,0,0,0,0,0,0,0,0,0
9777,4,27,0,0,0,0,0,0,0,0,0
9771,16,93,0,0,0,0,0,1,0,1,0
9770,7,42,0,0,0,0,0,1,0,0,0
9773,6,41,0,0,0,0,0,0,0,0,0
9772,7,53,0,0,0,0,0,0,9,0,0
8866,16,89,3,0,0,0,0,0,0,0,0
8867,15,88,0,0,0,0,0,2,1,1,0
8864,10,66,0,0,0,0,0,1,1,0,0
8865,10,59,0,1,0,0,0,0,0,0,0
8862,12,64,0,0,0,0,0,1,0,0,0
8863,16,89,0,0,0,0,0,1,0,0,0
8860,18,104,0,0,0,0,0,1,0,1,0
8861,11,63,0,0,0,0,0,0,0,0,0
8868,8,52,0,0,0,0,0,0,0,0,0
8869,13,69,0,0,0,0,0,0,0,0,0
818,13,72,0,0,0,0,0,1,0,0,0
819,14,87,0,0,0,0,0,0,0,1,0
810,16,87,0,0,0,0,0,0,0,0,0
811,16,87,0,0,0,0,0,1,0,1,0
812,9,59,0,0,0,0,0,0,0,0,0
813,17,92,0,0,0,0,0,2,0,0,0
814,11,65,0,0,0,0,0,1,0,0,0
815,12,69,0,0,0,0,0,2,1,1,0
816,12,74,0,0,0,0,0,1,0,0,0
817,12,72,1,0,0,0,0,1,0,0,0
1700,15,86,1,0,0,0,0,1,1,0,0
1701,13,78,0,0,0,0,0,0,0,0,0
5265,17,94,0,0,0,0,0,2,0,0,0
5264,10,52,0,0,0,0,0,0,0,0,0
5263,11,66,0,0,0,0,0,1,0,0,0
5262,12,64,0,0,0,0,0,0,0,0,0
5261,4,28,0,0,0,0,0,0,0,0,0
1707,10,57,0,0,0,0,0,0,1,1,0
1709,16,104,2,0,0,1,1,0,0,0,0
4572,12,67,0,0,0,0,0,2,0,0,0
5269,13,66,0,0,0,0,0,0,0,0,0
5268,13,77,0,0,0,0,0,1,0,1,0
